onset	duration	stim_file	sti_started	sti_stopped	key_fix
12	3	face-video/stimtrn_661.mp4	63.5845987999991	66.5972079999992	n/a
18	3	face-video/stimtrn_662.mp4	69.3766243999998	72.3849345999997	n/a
24	3	face-video/stimtrn_663.mp4	75.3352209999993	78.3433372999998	n/a
30	3	face-video/stimtrn_664.mp4	81.3437288999994	84.3620627	n/a
36	3	face-video/stimtrn_665.mp4	87.3357747999998	90.3438607999996	n/a
42	3	face-video/stimtrn_666.mp4	93.3276634999992	96.3360099999999	n/a
48	3	face-video/stimtrn_667.mp4	99.3445490999993	102.366133799999	n/a
54	3	face-video/stimtrn_668.mp4	105.386644899999	108.386386299999	n/a
60	3	face-video/stimtrn_669.mp4	111.361574699999	114.369979299999	n/a
66	3	face-video/stimtrn_670.mp4	117.412238199999	120.428645599999	n/a
72	3	face-video/stimtrn_670.mp4	123.337225899999	126.345522399999	1
78	3	face-video/stimtrn_671.mp4	129.362666699999	132.384195199999	n/a
84	3	face-video/stimtrn_672.mp4	135.337963799999	138.3545549	n/a
90	3	face-video/stimtrn_673.mp4	141.346455999999	144.363133699999	n/a
96	3	face-video/stimtrn_674.mp4	147.338570399999	150.3551023	n/a
102	3	face-video/stimtrn_675.mp4	153.372004799999	156.382684599999	n/a
108	3	face-video/stimtrn_676.mp4	159.539075599999	162.555660699999	n/a
114	3	face-video/stimtrn_677.mp4	165.3726262	168.382935099999	n/a
120	3	face-video/stimtrn_678.mp4	171.364461999999	174.372696999999	n/a
126	3	face-video/stimtrn_679.mp4	177.372895799999	180.3898331	n/a
132	3	face-video/stimtrn_680.mp4	183.340029999999	186.350375799999	n/a
138	3	face-video/stimtrn_1322.mp4	189.3487439	192.356886199999	n/a
144	3	face-video/stimtrn_682.mp4	195.390618599999	198.407302799999	n/a
150	3	face-video/stimtrn_682.mp4	201.357582099999	204.365790599999	1
156	3	face-video/stimtrn_683.mp4	207.357615799999	210.376150999999	n/a
162	3	face-video/stimtrn_684.mp4	213.349797299999	216.357959199999	n/a
168	3	face-video/stimtrn_685.mp4	219.358176899999	222.3665578	n/a
174	3	face-video/stimtrn_686.mp4	225.350318899999	228.366987599999	n/a
180	3	face-video/stimtrn_687.mp4	231.367343399999	234.388832399999	n/a
186	3	face-video/stimtrn_688.mp4	237.342621499999	240.364114699999	n/a
192	3	face-video/stimtrn_689.mp4	243.351176899999	246.359312499999	n/a
198	3	face-video/stimtrn_690.mp4	249.368081499999	252.384748699999	n/a
204	3	face-video/stimtrn_1321.mp4	255.451715199999	258.459895799999	n/a
210	3	face-video/stimtrn_681.mp4	261.351919799999	264.360149199999	n/a
216	3	face-video/stimtrn_683.mp4	267.352155599999	270.360423199999	n/a
222	3	face-video/stimtrn_672.mp4	273.319251999999	276.335869799999	n/a
228	3	face-video/stimtrn_663.mp4	279.327737199999	282.349284399999	n/a
234	3	face-video/stimtrn_664.mp4	285.319802499999	288.336351099999	n/a
240	3	face-video/stimtrn_665.mp4	291.353332599999	294.369988999999	n/a
246	3	face-video/stimtrn_669.mp4	297.361856999999	300.386918299999	n/a
252	3	face-video/stimtrn_667.mp4	303.328828099999	306.337056999999	n/a
258	3	face-video/stimtrn_667.mp4	309.345869699999	312.362471899999	1
264	3	face-video/stimtrn_1321.mp4	315.3377682	318.345946299999	n/a
270	3	face-video/stimtrn_666.mp4	321.3379439	324.348653299999	n/a
276	3	face-video/stimtrn_678.mp4	327.329919499999	330.338136599999	n/a
282	3	face-video/stimtrn_682.mp4	333.346992799999	336.355226099999	n/a
288	3	face-video/stimtrn_662.mp4	339.355464399999	342.363661299999	n/a
294	3	face-video/stimtrn_673.mp4	345.322413799999	348.339128699999	n/a
300	3	face-video/stimtrn_674.mp4	351.322653399999	354.339379199999	n/a
306	3	face-video/stimtrn_685.mp4	357.356342	360.366439999999	n/a
312	3	face-video/stimtrn_676.mp4	363.339981499999	366.348104199999	n/a
318	3	face-video/stimtrn_686.mp4	369.348569399999	372.356725499999	n/a
324	3	face-video/stimtrn_670.mp4	375.365504999999	378.373639299999	n/a
330	3	face-video/stimtrn_679.mp4	381.323868999999	384.340778399999	n/a
336	3	face-video/stimtrn_690.mp4	387.332645699999	390.354269099999	n/a
342	3	face-video/stimtrn_681.mp4	393.341398999999	396.357960699999	n/a
348	3	face-video/stimtrn_671.mp4	399.358319699999	402.379836699999	n/a
354	3	face-video/stimtrn_671.mp4	405.341760699999	408.3633841	1
360	3	face-video/stimtrn_1322.mp4	411.350441999999	414.367121899999	n/a
366	3	face-video/stimtrn_684.mp4	417.359010399999	420.367205199999	n/a
372	3	face-video/stimtrn_675.mp4	423.351101299999	426.359149299999	n/a
378	3	face-video/stimtrn_677.mp4	429.3428506	432.351084899999	n/a
384	3	face-video/stimtrn_687.mp4	435.326500599999	438.334863099999	n/a
390	3	face-video/stimtrn_661.mp4	441.3601847	444.3816864	n/a
396	3	face-video/stimtrn_689.mp4	447.377178099999	450.385415099999	n/a
402	3	face-video/stimtrn_680.mp4	453.352263999999	456.360530199999	n/a
408	3	face-video/stimtrn_668.mp4	459.336026199999	462.344166699999	n/a
414	3	face-video/stimtrn_688.mp4	465.352982299999	468.361052599999	n/a
