filename	task_type
fmap/sub-04_ses-01_run-01_magnitude1.nii	n/a
fmap/sub-04_ses-01_run-01_magnitude2.nii	n/a
fmap/sub-04_ses-01_run-01_phasediff.nii	n/a
func/sub-04_ses-01_task-prf_run-01_bold.nii	prf/multibar
func/sub-04_ses-01_task-prf_run-02_bold.nii	prf/wedgering
func/sub-04_ses-01_task-prf_run-03_bold.nii	prf/multibar
func/sub-04_ses-01_task-prf_run-04_bold.nii	prf/wedgering
fmap/sub-04_ses-01_run-02_magnitude1.nii	n/a
fmap/sub-04_ses-01_run-02_magnitude2.nii	n/a
fmap/sub-04_ses-01_run-02_phasediff.nii	n/a
func/sub-04_ses-01_task-floc_run-01_bold.nii	floc
func/sub-04_ses-01_task-floc_run-02_bold.nii	floc
func/sub-04_ses-01_task-floc_run-03_bold.nii	floc
func/sub-04_ses-01_task-floc_run-04_bold.nii	floc
fmap/sub-04_ses-01_run-03_magnitude1.nii	n/a
fmap/sub-04_ses-01_run-03_magnitude2.nii	n/a
fmap/sub-04_ses-01_run-03_phasediff.nii	n/a
