filename	task_type
fmap/sub-01_ses-01_run-01_magnitude1.nii	n/a
fmap/sub-01_ses-01_run-01_magnitude2.nii	n/a
fmap/sub-01_ses-01_run-01_phasediff.nii	n/a
func/sub-01_ses-01_task-prf_run-01_bold.nii	prf
func/sub-01_ses-01_task-prf_run-02_bold.nii	prf
func/sub-01_ses-01_task-prf_run-03_bold.nii	prf
func/sub-01_ses-01_task-prf_run-04_bold.nii	prf
fmap/sub-01_ses-01_run-02_magnitude1.nii	n/a
fmap/sub-01_ses-01_run-02_magnitude2.nii	n/a
fmap/sub-01_ses-01_run-02_phasediff.nii	n/a
func/sub-01_ses-01_task-floc_run-01_bold.nii	floc
func/sub-01_ses-01_task-floc_run-02_bold.nii	floc
func/sub-01_ses-01_task-floc_run-03_bold.nii	floc
func/sub-01_ses-01_task-floc_run-04_bold.nii	floc
fmap/sub-01_ses-01_run-03_magnitude1.nii	n/a
fmap/sub-01_ses-01_run-03_magnitude2.nii	n/a
fmap/sub-01_ses-01_run-03_phasediff.nii	n/a
