filename	task_type	operator
fmap/sub-01_ses-02_run-01_magnitude1.nii	n/a	n/a
fmap/sub-01_ses-02_run-01_magnitude2.nii	n/a	n/a
fmap/sub-01_ses-02_run-01_phasediff.nii	n/a	n/a
func/sub-01_ses-02_task-face_run-01_bold.nii	face	n/a
func/sub-01_ses-02_task-face_run-02_bold.nii	face	n/a
func/sub-01_ses-02_task-face_run-03_bold.nii	face	n/a
fmap/sub-01_ses-02_run-02_magnitude1.nii	n/a	n/a
fmap/sub-01_ses-02_run-02_magnitude2.nii	n/a	n/a
fmap/sub-01_ses-02_run-02_phasediff.nii	n/a	n/a
func/sub-01_ses-02_task-face_run-04_bold.nii	face	n/a
func/sub-01_ses-02_task-face_run-05_bold.nii	face	n/a
func/sub-01_ses-02_task-face_run-06_bold.nii	face	n/a
fmap/sub-01_ses-02_run-03_magnitude1.nii	n/a	n/a
fmap/sub-01_ses-02_run-03_magnitude2.nii	n/a	n/a
fmap/sub-01_ses-02_run-03_phasediff.nii	n/a	n/a
