onset	duration	stim_file	sti_started	sti_stopped	key_fix
12	3	face-video/stimtrn_421.mp4	65.7424713	68.8010047000007	n/a
18	3	face-video/stimtrn_422.mp4	71.7177418999999	74.7845428	n/a
24	3	face-video/stimtrn_423.mp4	77.7180109	80.7764779999997	n/a
30	3	face-video/stimtrn_424.mp4	83.7266028000012	86.7935030000007	n/a
36	3	face-video/stimtrn_425.mp4	89.7435366999998	92.81034	n/a
42	3	face-video/stimtrn_425.mp4	95.7188765999999	98.7939426000011	1
48	3	face-video/stimtrn_426.mp4	101.735732000001	104.8025345	n/a
54	3	face-video/stimtrn_427.mp4	107.719339500001	110.7861494	n/a
60	3	face-video/stimtrn_428.mp4	113.686296199999	116.753044299999	n/a
66	3	face-video/stimtrn_429.mp4	119.6782026	122.7449808	n/a
72	3	face-video/stimtrn_430.mp4	125.653463300001	128.7202606	n/a
78	3	face-video/stimtrn_431.mp4	131.628827800001	134.695524800001	n/a
84	3	face-video/stimtrn_432.mp4	137.6206191	140.695797	n/a
90	3	face-video/stimtrn_433.mp4	143.620920299999	146.687724700001	n/a
96	3	face-video/stimtrn_434.mp4	149.587908299999	152.654655600001	n/a
102	3	face-video/stimtrn_435.mp4	155.563106499999	158.629919	n/a
108	3	face-video/stimtrn_436.mp4	161.571713299999	164.630124299999	n/a
114	3	face-video/stimtrn_1322.mp4	167.5303043	170.613778300001	n/a
120	3	face-video/stimtrn_438.mp4	173.5639047	176.622377699999	n/a
126	3	face-video/stimtrn_439.mp4	179.580855399999	182.647646499999	n/a
132	3	face-video/stimtrn_439.mp4	185.5894435	188.656243499999	1
138	3	face-video/stimtrn_440.mp4	191.589769600001	194.656475400001	n/a
144	3	face-video/stimtrn_441.mp4	197.5483043	200.6150815	n/a
150	3	face-video/stimtrn_442.mp4	203.5654369	206.623705899999	n/a
156	3	face-video/stimtrn_1321.mp4	209.5404913	212.615641100001	n/a
162	3	face-video/stimtrn_444.mp4	215.540772100001	218.6075669	n/a
168	3	face-video/stimtrn_445.mp4	221.524366999999	224.5911677	n/a
174	3	face-video/stimtrn_446.mp4	227.5329927	230.5997637	n/a
180	3	face-video/stimtrn_447.mp4	233.5332545	236.5916995	n/a
186	3	face-video/stimtrn_448.mp4	239.5334884	242.600293499999	n/a
192	3	face-video/stimtrn_449.mp4	245.525421399999	249.5755303	n/a
198	3	face-video/stimtrn_450.mp4	252.5007339	255.5592035	n/a
204	3	face-video/stimtrn_443.mp4	258.4926429	261.5594638	n/a
210	3	face-video/stimtrn_437.mp4	264.4846108	267.5514088	n/a
216	3	face-video/stimtrn_443.mp4	270.5015383	273.559974200001	n/a
222	3	face-video/stimtrn_432.mp4	276.476796300001	279.543599	n/a
228	3	face-video/stimtrn_423.mp4	282.460391800001	285.527197000001	n/a
234	3	face-video/stimtrn_424.mp4	288.4523282	291.5191223	n/a
240	3	face-video/stimtrn_425.mp4	294.469284300001	297.527726100001	n/a
246	3	face-video/stimtrn_429.mp4	300.461189900001	303.5279602	n/a
252	3	face-video/stimtrn_427.mp4	306.436512600001	309.4948992	n/a
258	3	face-video/stimtrn_1321.mp4	312.4117127	315.486851900001	n/a
264	3	face-video/stimtrn_426.mp4	318.428660999999	321.4954431	n/a
270	3	face-video/stimtrn_438.mp4	324.4372148	327.504048099999	n/a
276	3	face-video/stimtrn_438.mp4	330.4208423	333.479310099999	1
282	3	face-video/stimtrn_442.mp4	336.412769100001	339.479575000001	n/a
288	3	face-video/stimtrn_422.mp4	342.396377	345.471506699999	n/a
294	3	face-video/stimtrn_433.mp4	348.379978099999	351.438439700001	n/a
300	3	face-video/stimtrn_434.mp4	354.380249400001	357.4386899	n/a
306	3	face-video/stimtrn_445.mp4	360.347186500001	363.413962300001	n/a
312	3	face-video/stimtrn_436.mp4	366.3557853	369.414167099999	n/a
318	3	face-video/stimtrn_446.mp4	372.3310297	375.3978157	n/a
324	3	face-video/stimtrn_446.mp4	378.314624800001	381.381425999999	1
330	3	face-video/stimtrn_1322.mp4	384.2899526	387.3650281	n/a
336	3	face-video/stimtrn_439.mp4	390.315154199999	393.3819511	n/a
342	3	face-video/stimtrn_450.mp4	396.3320872	399.3988835	n/a
348	3	face-video/stimtrn_441.mp4	402.3240203	405.3824812	n/a
354	3	face-video/stimtrn_431.mp4	408.2909416	411.357750999999	n/a
360	3	face-video/stimtrn_421.mp4	414.249546299999	417.3163473	n/a
366	3	face-video/stimtrn_444.mp4	420.2581857	423.316603500001	n/a
372	3	face-video/stimtrn_435.mp4	426.250069900001	429.3168765	n/a
378	3	face-video/stimtrn_437.mp4	432.233677399999	435.3087885	n/a
384	3	face-video/stimtrn_447.mp4	438.2339283	441.309068800001	n/a
390	3	face-video/stimtrn_430.mp4	444.2675325	447.326004100001	n/a
396	3	face-video/stimtrn_449.mp4	450.2678467	453.334581000001	n/a
402	3	face-video/stimtrn_440.mp4	456.2680947	459.3265394	n/a
408	3	face-video/stimtrn_428.mp4	462.2433664	465.3184629	n/a
414	3	face-video/stimtrn_448.mp4	468.218595100001	471.2853962	n/a
