onset	duration	stim_file	sti_started	sti_stopped	key_fix
12	3	face-video/stimtrn_451.mp4	149.603931399993	152.61215439999	n/a
18	3	face-video/stimtrn_451.mp4	155.1874809	158.20823209999	1
24	3	face-video/stimtrn_452.mp4	161.312843299994	164.320915299991	n/a
30	3	face-video/stimtrn_453.mp4	167.2379679	170.246253799996	n/a
36	3	face-video/stimtrn_454.mp4	173.230021099996	176.251482799998	n/a
42	3	face-video/stimtrn_455.mp4	179.196978199994	182.213598000002	n/a
48	3	face-video/stimtrn_456.mp4	185.222210199994	188.23883799999	n/a
54	3	face-video/stimtrn_457.mp4	191.230862299999	194.252389799992	n/a
60	3	face-video/stimtrn_458.mp4	197.214378299991	200.239279799992	n/a
66	3	face-video/stimtrn_459.mp4	203.264760899997	206.289656199995	n/a
72	3	face-video/stimtrn_460.mp4	209.21493809999	212.231595199991	n/a
78	3	face-video/stimtrn_461.mp4	215.21521319999	218.236718200001	n/a
84	3	face-video/stimtrn_462.mp4	221.248897600002	224.269061600003	n/a
90	3	face-video/stimtrn_463.mp4	227.232457799997	230.249084399998	n/a
96	3	face-video/stimtrn_464.mp4	233.224408699999	236.241027299998	n/a
102	3	face-video/stimtrn_465.mp4	239.232983499998	242.249630499994	n/a
108	3	face-video/stimtrn_466.mp4	245.241638299994	248.249735499994	n/a
114	3	face-video/stimtrn_467.mp4	251.225204499991	254.241824900003	n/a
120	3	face-video/stimtrn_468.mp4	257.250503899995	260.267158999995	n/a
126	3	face-video/stimtrn_469.mp4	263.234094400002	266.242265399996	n/a
132	3	face-video/stimtrn_470.mp4	269.24281309999	272.25933439999	n/a
138	3	face-video/stimtrn_471.mp4	275.226357699997	278.247690599993	n/a
144	3	face-video/stimtrn_472.mp4	281.218297799991	284.234875599999	n/a
150	3	face-video/stimtrn_473.mp4	287.276921900003	290.285162799991	n/a
156	3	face-video/stimtrn_474.mp4	293.243782699995	296.265268999995	n/a
162	3	face-video/stimtrn_475.mp4	299.277490099993	302.297727500001	n/a
168	3	face-video/stimtrn_476.mp4	305.211068399992	308.23159509999	n/a
174	3	face-video/stimtrn_477.mp4	311.244607699991	314.261241	n/a
180	3	face-video/stimtrn_478.mp4	317.244890899994	320.261526699992	n/a
186	3	face-video/stimtrn_479.mp4	323.253493900003	326.270134599995	n/a
192	3	face-video/stimtrn_480.mp4	329.228793999995	332.246339799996	n/a
198	3	face-video/stimtrn_480.mp4	335.187438199995	338.204011699999	1
204	3	face-video/stimtrn_1321.mp4	341.220998899996	344.231778599991	n/a
210	3	face-video/stimtrn_1322.mp4	347.229653499991	350.251064199997	n/a
216	3	face-video/stimtrn_473.mp4	353.254855099992	356.2716258	n/a
222	3	face-video/stimtrn_462.mp4	359.205259499998	362.213321999995	n/a
228	3	face-video/stimtrn_453.mp4	365.213802700003	368.230392299999	n/a
234	3	face-video/stimtrn_454.mp4	371.197377299991	374.214020999992	n/a
240	3	face-video/stimtrn_455.mp4	377.222680399994	380.230930799996	n/a
246	3	face-video/stimtrn_459.mp4	383.198043900003	386.214555099999	n/a
252	3	face-video/stimtrn_457.mp4	389.198281399993	392.214914700001	n/a
258	3	face-video/stimtrn_1321.mp4	395.173386299997	398.190057500003	n/a
264	3	face-video/stimtrn_456.mp4	401.198780499995	404.215365099997	n/a
270	3	face-video/stimtrn_456.mp4	407.190725099993	410.198842500001	1
276	3	face-video/stimtrn_468.mp4	413.190924099995	416.199071399998	n/a
282	3	face-video/stimtrn_472.mp4	419.191197699998	422.207845700002	n/a
288	3	face-video/stimtrn_452.mp4	425.183134199993	428.193599299993	n/a
294	3	face-video/stimtrn_463.mp4	431.200145599999	434.208283400003	n/a
300	3	face-video/stimtrn_464.mp4	437.167024900001	440.1836645	n/a
306	3	face-video/stimtrn_475.mp4	443.217366099997	446.237615299993	n/a
312	3	face-video/stimtrn_466.mp4	449.184178199997	452.209132599993	n/a
318	3	face-video/stimtrn_476.mp4	455.192892799997	458.217974300001	n/a
324	3	face-video/stimtrn_460.mp4	461.184848399992	464.201418099997	n/a
330	3	face-video/stimtrn_469.mp4	467.226786899991	470.244588000001	n/a
336	3	face-video/stimtrn_469.mp4	473.193729599996	476.201976099997	1
342	3	face-video/stimtrn_480.mp4	479.193949099993	482.205093099997	n/a
348	3	face-video/stimtrn_471.mp4	485.185937699992	488.202529100002	n/a
354	3	face-video/stimtrn_461.mp4	491.227892299997	494.244462899994	n/a
360	3	face-video/stimtrn_451.mp4	497.21975589999	500.236426499992	n/a
366	3	face-video/stimtrn_474.mp4	503.236812599992	506.253314899993	n/a
372	3	face-video/stimtrn_465.mp4	509.212004799992	512.228615999993	n/a
378	3	face-video/stimtrn_467.mp4	515.187362099997	518.203887700001	n/a
384	3	face-video/stimtrn_477.mp4	521.229252699995	524.245802999998	n/a
390	3	face-video/stimtrn_1322.mp4	527.19619409999	530.212780299989	n/a
396	3	face-video/stimtrn_479.mp4	533.196398500003	536.213080000001	n/a
402	3	face-video/stimtrn_470.mp4	539.196682099995	542.213320800001	n/a
408	3	face-video/stimtrn_458.mp4	545.230370699995	548.246935499992	n/a
414	3	face-video/stimtrn_478.mp4	551.197284900001	554.213899399997	n/a
