filename	task_type	operator
fmap/sub-03_ses-01_run-01_magnitude1.nii	n/a	n/a
fmap/sub-03_ses-01_run-01_magnitude2.nii	n/a	n/a
fmap/sub-03_ses-01_run-01_phasediff.nii	n/a	n/a
func/sub-03_ses-01_task-prf_run-01_bold.nii	prf/multidirectional bars	n/a
func/sub-03_ses-01_task-prf_run-02_bold.nii	prf/wedge/ring combination	n/a
func/sub-03_ses-01_task-prf_run-03_bold.nii	prf/multidirectional bars	n/a
func/sub-03_ses-01_task-prf_run-04_bold.nii	prf/wedge/ring combination	n/a
fmap/sub-03_ses-01_run-02_magnitude1.nii	n/a	n/a
fmap/sub-03_ses-01_run-02_magnitude2.nii	n/a	n/a
fmap/sub-03_ses-01_run-02_phasediff.nii	n/a	n/a
func/sub-03_ses-01_task-floc_run-05_bold.nii	floc	n/a
func/sub-03_ses-01_task-floc_run-06_bold.nii	floc	n/a
func/sub-03_ses-01_task-floc_run-07_bold.nii	floc	n/a
func/sub-03_ses-01_task-floc_run-08_bold.nii	floc	n/a
fmap/sub-03_ses-01_run-03_magnitude1.nii	n/a	n/a
fmap/sub-03_ses-01_run-03_magnitude2.nii	n/a	n/a
fmap/sub-03_ses-01_run-03_phasediff.nii	n/a	n/a

